,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,client_id,path,sentence,up_votes,down_votes,age,gender,accents,variant,locale,segment,accents_cleaned,probs
80492,401406,401406,402066,1102592,4389a887e6409a9de4e717cc1843591b584e048cd22a3d17cad3cab7fbbae9c90c3df28e8037d7158a17c942368b6a50606b8c6fa4d3f4863307d4f1ab04fd26,common_voice_en_22930344.mp3,Migration is another important avenue in Guatemala.,2,0,thirties,male,United States English,,en,,usa,0.467988270004379
154765,773375,773375,774035,1678243,372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8,common_voice_en_25422859.mp3,Bhutia has had limited opportunities in playing overseas.,4,0,fourties,male,"German English,Non native speaker",,en,,germany,0.0489600927369266
111522,556197,556197,556857,1350590,cbe5ebf5c32d8ebeb1894e7dc8e6e0448c6cd3370d2e2b0cb60db2d1a375cc897a20b1106c01a53442f327efe35f6e9b91832a87e72d3a0e519d0a3644349659,common_voice_en_17844098.mp3,We meet every other Monday.,2,0,thirties,other,United States English,,en,,usa,0.467988270004379
93357,465430,465430,466090,1204274,b0dec8b933595f7b3b31f4f0254dd28f9afe6a413d8deaa03445ee65ac07bd7006f05249de26303cfea40523e5333441973176ee63f978b64152a0523b641941,common_voice_en_492900.mp3,He never asked me to sit down in his life.,2,0,thirties,male,England English,,en,,uk,0.1847397710429457
81669,407472,407472,408132,1117984,2b377201db93d93ff055836f6528e2d2b9c5857543c07ca8cf02616db81f1c5b19b0f6032536207b96aa177294f4d11c0ff74a2211cf3297b0005536007869c0,common_voice_en_19750039.mp3,This model was not sold in the United States.,2,0,twenties,other,United States English,,en,,usa,0.467988270004379
10178,50909,50909,51023,323716,a35595a9de47eebf04584944186670d6d2f4070339ad0e221ad2139484d344a67453f6dfaa668cd25717c0ab1f6397f94fcb5fd83f9ad0f0b963a3832c3f026f,common_voice_en_32277036.mp3,"She also translated ""Romeo and Juliet"" into Silesian.",2,0,twenties,male,United States English,,en,,usa,0.467988270004379
95689,476959,476959,477619,1224703,8f7e0c1a745bde3b6375473b87b997d5f687a8a0d9c28a96b8fd9b2db97634c0c09607da808a8e8a08588137234ce63b8a9e537fd15117628bc7cfca6ae12059,common_voice_en_23663412.mp3,However his main achievements were in sports car racing.,2,0,twenties,male,"India and South Asia (India, Pakistan, Sri Lanka)",,en,,"India and South Asia (India, Pakistan, Sri Lanka)",0.10106588739051
96790,482420,482420,483080,1234284,d0b62ac1e57e267f16088ee614cdaf09a9826c3b704ce2f79746ef16e248c19f9ff54ab124c25647def1f4414dc2a510eb8b6cfd3a41ae6681571b91b2a6f9df,common_voice_en_17248585.mp3,"I understand, he said.",2,0,twenties,male,"India and South Asia (India, Pakistan, Sri Lanka)",,en,,"India and South Asia (India, Pakistan, Sri Lanka)",0.10106588739051
42086,209557,209557,209723,751817,be690f1bc45b4760a2965e3bb2d873c3181343cbd16f17253513f73943b570af38557ce14eb81c9d0daef9ec26359ac28719111f43a6df03d4516ce81e086ff7,common_voice_en_513837.mp3,Swords clashed in a terrifying cacophony of sound but she did not flinch.,2,0,thirties,male,United States English,,en,,usa,0.467988270004379
6724,33384,33384,33432,250795,2a25b2421b0b51a91c2be521b64ad2ad104a40785cae5b74164b5cb21f22c43f48143440615c3a991eb688b18752515353fdb5ef60dd51f2b7734804c2581d34,common_voice_en_1639348.mp3,You can verify and re-record your own recordings before submitting them.,3,0,twenties,male,Malaysian English,,en,,malaysia,0.0018690371777538
597,3037,3037,3051,43653,c95faec3e7d3838b8a97bcf6fb4d88e5225e117f8a0db1a715375a48a59c550f0d4a5ad5bf2abdd98469e3351bb84a7740934ff90b257f1048232e1ca0c20e4c,common_voice_en_33117126.mp3,This event stalled the bill.,6,0,sixties,male,"England English,Educated,non regional",,en,,uk,0.1847397710429457
153813,768626,768626,769286,1672287,372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8,common_voice_en_24020170.mp3,This revival was Jones's last production.,4,0,fourties,male,"German English,Non native speaker",,en,,germany,0.0489600927369266
22924,114340,114340,114506,524435,c1a6a0170edecf8bb5b2e81ce57bf0de37142e6a9e63f407d0d0a47e057b482115a5d14e5fd4703f1d635663cddfeb679bae78ac13f812303e7d1d587ab29472,common_voice_en_22715547.mp3,"In college, he played for Southern University.",2,0,seventies,male,United States English,,en,,usa,0.467988270004379
43735,217768,217768,217934,767359,08eb61f0c97618d205916d2b4a3cdba7cbe32118047d7712d03612d49afc5df69e15c095fe159e9fc917dfd348d18500f3bdfc1b8450e724d6112b99209c463c,common_voice_en_680194.mp3,A thin circle of bright metal showed between the top and the body of the cylinder.,3,0,thirties,female,United States English,,en,,usa,0.467988270004379
88730,442846,442846,443506,1169856,5e7bf775118b2a888dc10c72f787202dd1a07f9e4fa0512c5302c4a9c361a37fc612e793fc37915b1267b5bd9cb98e4e87d58ae21ec9218a6117cba8e39a57e5,common_voice_en_25389213.mp3,"Garut Oranges have a good taste, good coloring, thick skin textures, and good aroma.",2,0,teens,female,United States English,,en,,usa,0.467988270004379
122324,609814,609814,610474,1423276,cfeff877cccff0af362791b70d74807862da77e349d083a3b710f9f7e69d2dc40be216c056cc7b5153934c29b74abbbeb11d3d0966546d6f2b985782ea01413e,common_voice_en_27289521.mp3,It is the administrative and cultural centre of the Dravinja Valley.,2,0,fourties,female,"India and South Asia (India, Pakistan, Sri Lanka)",,en,,"India and South Asia (India, Pakistan, Sri Lanka)",0.10106588739051
78433,391233,391233,391893,1087349,46e325bc549826f452d9237b7922e49f3fc6009e90c3b73527022ffe70031fcad33607f6bceba2bdccf6a05a9d2528fb84185debe5a338c0acbfba35785e26ee,common_voice_en_21269500.mp3,Henry Cromwell is buried with his wife at Wicken parish church.,2,0,twenties,female,"India and South Asia (India, Pakistan, Sri Lanka)",,en,,"India and South Asia (India, Pakistan, Sri Lanka)",0.10106588739051
106434,530839,530839,531499,1314282,c1a71237085b022f2c0dea2bd668bfbc7e9ee74c8be807b622c2137450199300cb44839d0f54e5962ef3797bbd28b064852b9c2ebb75b23230f2009e3f7c2a71,common_voice_en_32857274.mp3,The original route was then filled in.,5,0,fourties,female,"United States English,Midwestern,Low,Demure",,en,,usa,0.467988270004379
77947,388734,388734,389394,1083854,507fa53b98b23a3961f4b8b8b5c5e595344fb7da14de0b2af1bf21c05ba888c416133aff35ab4dbe66c9a4033598544193ebe7e08b89189d3a37e951636288aa,common_voice_en_23602210.mp3,"Thereafter, tensions between British officials and colonists over western land policy diminished.",2,0,twenties,male,Australian English,,en,,australia,0.0562383584134121
131186,655030,655030,655690,1510187,fd52910d24299328945044ddd49dd2d79ef95c7b0d6e38d06d65a1d9330f64f45a8426cf556ed10a705307dcf622e1fe152ee48d5bd2e38b89b4da815b5c38a6,common_voice_en_27013150.mp3,B would win.,2,0,twenties,female,"India and South Asia (India, Pakistan, Sri Lanka)",,en,,"India and South Asia (India, Pakistan, Sri Lanka)",0.10106588739051
105230,524849,524849,525509,1306523,b644ae3b2f82a9ef3f6143326617509097ed4337fc0123d4b854be26cbcfba78bcc9d370d1272c725e15370c6ab4220d608d578780b592047cae1edbaf1d7d0e,common_voice_en_27451048.mp3,Ritchey's foundational design principles emerged from these dueling philosophes.,2,0,,,"India and South Asia (India, Pakistan, Sri Lanka)",,en,,"India and South Asia (India, Pakistan, Sri Lanka)",0.10106588739051
64976,324575,324575,324977,970343,1534d6ca32e51550cde95ba74837dbf959471e9eef8607ee5ad785848d64fe6353dcc5007f3a6a5757ccb39b21296a7a9b2558eae9e00bf1e863a6810fc528f7,common_voice_en_19671254.mp3,"However, Hamilton and Cosgrave ended their relationship shortly afterwards.",2,0,teens,female,United States English,,en,,usa,0.467988270004379
154317,771157,771157,771817,1675500,372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8,common_voice_en_24393215.mp3,"In the struggle she shoots at Rome, wounding Candella.",4,0,fourties,male,"German English,Non native speaker",,en,,germany,0.0489600927369266
74594,371743,371743,372403,1054070,165f79e04a16af6305ff7ffaa901830425aa07ab7119005b37bf2917d1d6858cfc7633225ba0a7dd8daf0608238e293be938794a742b80e3d125eef173f74452,common_voice_en_20067817.mp3,But in the end.,2,0,fourties,male,"India and South Asia (India, Pakistan, Sri Lanka)",,en,,"India and South Asia (India, Pakistan, Sri Lanka)",0.10106588739051
105530,526318,526318,526978,1308277,3626fa6b9645ba859cf611370be40d14691f5d0a46511e57ee7d8ff7b00e19aff177a20ddb75e1a05055baea2ce937592490a12437a579fcaeba1d37103887dd,common_voice_en_46496.mp3,What are you doing in here?,3,0,sixties,male,England English,,en,,uk,0.1847397710429457
